Position Title,Average Gross Pay
CYBERSECURITY SPECIALIST,69805.00769230768
CYBERSECURITY TECHNICIAN,60110.12454545454
DATA ANALYST,59357.181875
DATA COLLECTIONS ANALYST,38009.0
DATA ENTRY CLERK,24576.545000000002
DATA ENTRY OPERATOR,25380.2
DATA ENTRY TECHNICIAN,7182.943333333333
DATA MANAGER,95828.47333333334
DATA PROCESSING MANAGER,94323.97
DATA PROCESSING SPECIALIST,43452.63
DATA PROCESSOR PROFESSIONAL,39923.244
DATA PROCESSOR TECHNICAL,21882.385142857143
DATA REPORT ANALYST,32278.37
DATA SPECIALIST,67173.70423076923
DATA SYSTEMS ADMINISTRATOR,59818.71666666667
DATA SYSTEMS SUPV,90315.24
DATA TEAM MANAGER,99987.73
DATA TECHNICIAN,40023.19777777778
DATABASE ADMINISTRATOR,72463.195
DATABASE SPECIALIST,48596.815
DB AND APP SYS MGR,107194.93
DD COUNSELOR,29259.666086956524
DD COUNSELOR I,24075.842828282828
DD COUNSELOR II,24640.06614457831
DD COUNSELOR III,43302.549333333336
DD COUNSELOR IV,50015.61807692308
DD SPECIALIST,27089.32857142857
DDS ADMINISTRATOR,90840.0
DEAF COMMUNITY ADVOCATE,39001.72
DEISGNER/EDITOR,65504.5
DENTAL ASSISTANT,30427.16
DENTIST,113721.91333333333
DEP DIR OF  BUSINESS SERVICES,28697.0
DEP ST CT ADM AND DIVISION DIR,129192.51
DEPUTY ATTORNEY GENERAL,144093.778
DEPUTY CHIEF OF STAFF,83371.35250000001
DEPUTY CLERK,40423.75666666667
DEPUTY CLERK  BAR ENROLLMENT,37355.07666666667
DEPUTY CLERK COURT EN BANC,29107.277499999997
DEPUTY COMMISSIONER,99585.84
DEPUTY COUNSEL,83842.09545454546
DEPUTY DIR LEGISLATION AND POL,76579.18
DEPUTY DIRECTOR,21435.5
DEPUTY DIRECTOR - ENGAGEMENT,176013.5
DEPUTY DIRECTOR BUSINESS & OPS,42872.64
DEPUTY DIRECTOR COMMUNICATIONS,91320.0
DEPUTY DIRECTOR-RESOURCE MGMT,68009.5
DEPUTY DIRECTOR/CHIEF ENGINEER,126281.17
DEPUTY DIVISION DIRECTOR,106934.99500000001
DEPUTY FIRE CHIEF,78911.02
DEPUTY FISCAL OFFICER,27110.65
DEPUTY GENERAL COUNSEL,90834.57142857143
DEPUTY GENERAL COUNSEL - DIV,59579.363333333335
DEPUTY MARSHAL,22939.87125
DEPUTY PROBATE COMMISSIONER,117908.54250000001
DEPUTY PROJECT DIRECTOR,97959.40000000001
DEPUTY SECRETARY OF SENATE,63604.73
DEPUTY STATE AUDITOR,145716.06
DEPUTY STATE DEPT DIRECTOR,107892.98071428572
DEPUTY STATE TREASURER,126838.44
DESIGN INTERN,8684.1048
DESIGN LIAISON ENGINEER,81902.5
DESIGN MGT SYSTEMS ADMINISTRAT,91185.89
DESIGN SERVICES MANAGER,118111.5
DESIGN SUPPORT ENGINEER,91185.89
DESIGN TECHNICIAN,15996.800000000001
DESIGNATED PRINC ASSISTANT-DIV,51146.6225
DESIGNATED PRINCIPAL ASST DEPT,85330.81954545455
DESIGNATED PRINCIPAL ASST DIV,77327.16233576642
DESIGNER,44115.32749999999
DESKTOP & DEVICE SPT MGR,90495.72
DETENTION AIDE I,18509.274475524475
DETENTION AIDE II,26588.462499999998
DETENTION JUVENILE OFFICER I,27602.27857142857
DETENTION JUVENILE OFFICER II,32497.909166666668
DETENTION JUVENILE OFFICER IV,48630.72555555556
DETENTION JUVENILE OFFICER V,71666.14
DETENTION JUVENILE OFFICERIII,40981.485
DEVLP DISABILITY SERVICE ASSOC,39589.80202380953
DEVLP DISABILITY SERVICE SPEC,50616.08852459016
DEVLP DISABILITY SERVICE SPV,55537.140735294124
DIETETIC COORDINATOR,68021.1675
DIETITIAN,51824.65083333334
DIETITIAN SUPERVISOR,58968.30666666667
DIGITAL COMMUNICATIONS MANAGER,95287.5
DIGITAL MEDIA PRODUCER,86155.5
DIR GENERAL & ADMIN SERVICES,89470.71
"DIR INV PROT,EDU&VLN CITZS SVC",66908.0
DIR LEGISLATIVE & GOV AFFAIRS,98918.0
DIR OF COMMUNICATIONS- DEM CAU,33757.275
DIR OF COMPUTER INFO SYSTEMS,110744.79
DIR OF FISCAL & FACILITIES,98918.0
DIR OF INFORMATION SYSTEMS,126866.13
DIR OF OPERATIONS/INVESTIGATOR,117635.67
DIR OF UNCLAIMED PROP,58223.740000000005
DIR PROCEDURES-AST CF CLERK,137860.6
DIR STRATEGY & PLANNING LVL 1,85551.88
DIR STRATEGY & PLANNING LVL 2,86686.61
DIR STRATEGY & PLANNING LVL 3,104490.174
"DIR, DEPT OF TRANSPORTATION",136134.505
DIRECT CARE AIDE,8477.897327380952
DIRECTOR,53579.5283
DIRECTOR BAR ENROLLMENT,89406.42
DIRECTOR COURT EN BANC,94902.93
DIRECTOR OF ACCOUNTING/HR,99898.56
DIRECTOR OF ADMINISTRATION,105488.09
DIRECTOR OF APPROPRIATIONS,129738.60500000001
DIRECTOR OF AUDITS,127785.97
DIRECTOR OF BANKING,107554.82
DIRECTOR OF BUS SERVICES,98918.0
DIRECTOR OF BUSINESS SERVICES,80438.38
DIRECTOR OF BUY MO &TOURISM,102664.97
DIRECTOR OF CIRCULATION,57620.0
DIRECTOR OF COMMUNICATION,61966.24
DIRECTOR OF COMMUNICATIONS,111479.448
DIRECTOR OF ENFORCEMENT,13578.34
DIRECTOR OF EXTERNAL RELATIONS,86246.82
DIRECTOR OF GENERAL SERVICES,75280.87
DIRECTOR OF HOUSE DRAFTING,133540.63
DIRECTOR OF INFORMATION TECH,87015.54
DIRECTOR OF INVESTMENTS,192786.82
DIRECTOR OF NURSING,93580.84611111111
DIRECTOR OF OPERATIONS,80298.51666666666
DIRECTOR OF POLICY,19444.43
DIRECTOR OF PSYCHOLOGY,47580.835999999996
DIRECTOR OF PUBLIC SERVICES,57620.0
DIRECTOR OF PUBLICATIONS,71036.5
DIRECTOR OF RADIO,124420.0
DIRECTOR OF RESEARCH,136227.325
DIRECTOR REF SERVICES,51289.25
"DIRECTOR, HOUSE ADMIN DIVISION",129607.04
DIRECTOR-FIELD OPERATIONS,56925.333333333336
DIRECTOR/REVISOR,56582.67
DIST FINAL PLANS & REP PROC,52732.7125
DIST INFORMATION SYSTM MANAGER,81452.93666666666
DISTRIBUTION CENTER ASSISTANT,37968.0
DISTRIBUTION CENTER MANAGER,61184.5
DISTRICT ADMINISTRATIVE OFFICR,122637.96
DISTRICT BRIDGE ENGINEER,92770.70874999999
DISTRICT CONST & MATERIALS ENG,100696.0775
DISTRICT DEFENDER,88410.84839285714
DISTRICT DESIGN ENGINEER,101429.48000000001
DISTRICT ENGINEER,138194.64428571428
DISTRICT LAND SURVEY MANAGER,80261.0942857143
DISTRICT MAINT & TRAFFIC ENGIN,114517.07
DISTRICT MAINTENANCE ENGINEER,76608.73714285715
DISTRICT MANAGER,74393.6
DISTRICT PLANNING MANAGER,102218.61
DISTRICT SFTY & HLTH MGR,61022.91888888889
DISTRICT SUPERVISOR,68479.38500000001
DISTRICT TRAFFIC ENGINEER,96708.59166666667
DISTRICT UTILITIES ENGINEER,59108.945
DISTRICT UTILITIES MANAGER,43857.043333333335
DIV ADMIN SUPPORT SUPERVISOR,35165.365000000005
DIVERSITY & INCLUSION COORD,25588.68
DIVERSITY & INCLUSION SPECIALI,40945.78999999999
DIVISION ASSISTANT DIRECTOR,85541.95588235294
DIVISION DIRECTOR,111787.7559139785
DOCKET CLERK,31786.266
DOMESTIC SERVICE WORKER,5926.139454545454
DOORKEEPER,10972.833636363635
DORMITORY DIRECTOR,30814.4
DR OF REC SRV AND ST ARCHIVIST,112556.0
DRAFTING ATTORNEY I,73054.39
DRAFTING ATTORNEY II,80203.16
DRAFTING ATTORNEY III,86666.095
DRIVER,20725.164313725487
DRIVER EXAMINER - CHIEF,54317.63818181818
DRIVER EXAMINER CLERK III,46795.21
DRIVER EXAMINER I,21519.54291666667
DRIVER EXAMINER II,23572.96294117647
DRIVER EXAMINER III,33620.79103448276
DRIVER EXAMINER SPRV,48252.15869565217
DRUG COURT COMMISSIONER,159507.59
DUPLICATING EQUIPMENT OPER II,36328.0
DUPLICATING EQUIPMENT OPER III,43622.0
ECOLOGICAL HEALTH SPECIALIST,59526.18
ECONOMIC DEVELOPMENT MANAGER,79903.842
ECONOMIC DEVELOPMENT SPEC,26148.490857142857
ECONOMIC DEVELOPMENT SPV,61914.76857142857
ECONOMIC DEVLPMNT PROFESSIONAL,28310.82666666667
ECONOMICS ANALYST,65435.689999999995
ECONOMIST,67101.255
ED PRINCIPLE MGMT ANALYST I,63731.65
EDITOR,47281.897142857146
EDITOR II,43916.40333333333
EDITOR IN CHIEF,73349.5
EDUCATION ASSISTANT,23604.21142857143
EDUCATION BRANCH CHIEF,43550.19
EDUCATION CENTER MANAGER,66110.0
EDUCATION CHIEF,104049.75
EDUCATION DISTRICT SUPERVISOR,74957.25
EDUCATION MANAGEMENT ANALYST I,36624.248
EDUCATION MGMT ANALYST II,41758.69375
EDUCATION OUTREACH COORD,61415.75
EDUCATION PROGRAM MANAGER,56652.455862068964
EDUCATION SPECIALIST,42188.9315503876
EDUCATION SUPERVISOR I,64599.675
EDUCATION SUPERVISOR II,76428.18
EDUCATIONAL AIDE,25886.27142857143
EDUCATIONAL COUNSELOR,51761.11
EDUCATOR,41104.49361344538
ELECTIONS SPECIALIST,37556.046
ELECTRICAL ENGINEER,83718.66666666667
ELECTRONIC GAMING SEC SPEC,37684.98333333333
ELECTRONIC GAMING SECURITY SPV,74896.06
EMERGENCY MAINT EQUIP OPERAT,805.3969047619047
EMERGENCY MANAGEMENT MANAGER,72821.6092857143
EMERGENCY MANAGEMENT OFFICER,37617.21
EMERGENCY MANAGEMENT SPV,74249.98
EMERGENCY MANAGEMT COORDINATOR,98384.4
EMERGENCY MGMNT WORKER,11430.38524390244
EMERGENCY MT EQUIP OPER - TPT,1227.0025
EMPLOYEE BENEFITS MANAGER,81416.09
EMPLOYEE DEVELOPMENT MANAGER,53453.96
EMPLOYEE DEVELOPMENT SPECIALIS,12788.635
EMPLOYEE RELATIONS COORD,71357.5
EMPLOYEE RELATIONS MANAGER,51740.545
EMPLOYMENT MANAGER,104505.0
ENGINEER MANAGER,97371.59000000001
ENGINEER SUPERVISOR,64198.3545
ENGINEERING DESIGN TECH,43366.5
ENGINEERING PROF - TPT/SSPD,30621.162083333333
ENGINEERING PROFESSIONAL - TPT,26156.075862068963
ENGINEERING TECH - TPT/SSPD,18503.1125
ENGINEERING TECHNICIAN - TPT,15876.138
ENGINEERING TECHNICIAN INTERN,5374.705
ENGINEERING TECHNICIAN-TPT/SS,25367.22
ENGNG SURVEYING & FIELD AIDE,33438.68
ENGNG SURVEYING & FIELD TECH,40135.039375
ENGNG/ARCHITECT PROJECT MGR,70125.89428571428
ENROLLING & ENGROSSING CLERK,36271.573333333334
ENROLLING & ENGROSSING SUPV,66834.98
ENROLLING&ENGROSSING COORD,86594.01
ENROLLING&ENGROSSING SPEC,60360.535
ENTERPRISE ARCHITECT,70524.31285714285
ENTERPRISE INFORMATION ARCHTCT,81106.5
ENTERPRISE TECHNOLOGY ARCHTCT,95923.5
ENVIRONMENTAL & HIST PRESV MGR,114383.57
ENVIRONMENTAL AIDE,3130.56
ENVIRONMENTAL CHEMIST,54359.988
ENVIRONMENTAL COMPLIANCE SPECI,44680.17333333334
ENVIRONMENTAL COMPLNC MANAGER,81655.705
ENVIRONMENTAL INTERN,9330.316666666668
ENVIRONMENTAL PROGRAM ANALYST,41818.75179054054
ENVIRONMENTAL PROGRAM ASST,25527.12
ENVIRONMENTAL PROGRAM MANAGER,73155.50411764707
ENVIRONMENTAL PROGRAM SPEC,51955.23587719298
ENVIRONMENTAL PROGRAM SPV,57163.08354545455
ENVIRONMENTAL REVIEW ANALYST,11523.0
ENVIRONMENTAL REVIEW COORD,11829.0
EPIDEMIOLOGIST,56180.88032258065
EPIDEMIOLOGY MANAGER,109949.11
EQUAL OP & DIVERSITY DIRECTOR,128769.82
EQUAL OPP & DIVERSITY MGR,81676.1
EQUIP TECH SUPPORT SPECIALIST,72846.92
EQUIPMENT & PURCHASING MANAGER,89655.0
EQUIPMENT SERVICE TECHNICIAN,21703.365
EQUIPMENT SHOP REGIONAL SUPERV,72623.25
EQUIPMENT SHOP SUPERVISOR,57783.5
EQUIPMENT SHOP TECHNICIAN,39920.328799999996
EQUIPMENT TECHNICIAN,26856.032222222224
EQUIPMENT TECHNICIAN  INTERN,12553.626666666665
EQUIPMENT TECHNICIAN SUPERVISO,64824.89833333333
ESTIMATE AND REVIEW ENGINEER,26211.43
ESTIMATE AND REVIEW MANAGER,49996.5
EVENTS AND SOC MEDIA COOR,18610.1
EX ASSISTANT TO THE DEP COMM,50684.6
EXAMINATION MANAGER,111956.63833333332
EXAMINATION MONITOR,11474.052857142857
EXAMINER,48294.987272727274
EXAMINER SPECIALIST,85146.26857142858
EXAMINER-IN-CHARGE,101448.59133333334
EXCESS PROPERTY SPECIALIST,25074.0
EXCESS PROPERTY TECHNICIAN,12476.77
EXEC ADMIN SUPP PROF,19284.99
EXEC ASST TO STATE AUDITOR,44477.64
EXEC ASST TO THE COMM OF EDUC,69041.0
EXEC DEPUTY SOS/CHIEF OF STAFF,128387.0
EXECUTIVE,33693.97
EXECUTIVE ASSIST TO DIRECTOR,82961.5
EXECUTIVE ASSISTANT,33485.08880952381
EXECUTIVE ASSISTANT -SCHEDULER,73056.0
EXECUTIVE ASSISTANT I,45212.32
EXECUTIVE ASSISTANT III,57092.61
EXECUTIVE ASSISTANT TO DEPUTY,66811.25
EXECUTIVE CHEF,19752.8
EXECUTIVE DIRECTOR,75876.42333333332
EXECUTIVE I,51033.43333333333
EXECUTIVE I - COMMITTEE,55147.33
EXECUTIVE I - STAFF,21148.11
EXECUTIVE PROJECT MANAGER,97437.5
EXECUTIVE SECRETARY,55070.993333333325
EXHIBITS COORDINATOR,68900.5
EXHIBITS DESIGNER,69243.5
EXTERNAL CIVIL RIGHTS DIRECTOR,128769.82
EXTERNAL CIVIL RIGHTS MANAGER,81416.09
FABRICATION INSPECTOR,17013.71
FABRICATION OPERATIONS ENGR,114383.57
FABRICATION TECHNICIAN,41581.72
FACIL/EQUIP/EMER MGR COOR II,57092.61
FACILITIES ASSOCIATE,41871.78999999999
FACILITIES MANAGEMENT TECH,49447.75
FACILITIES MGMT ANALYST II,52040.05
FACILITIES SUPERINTENDENT,82921.0
FACILITITES SERVICES SUPV,53806.11
FACILITY MAINTENANCE TECH,15067.780754716981
FACILITY OPERATIONS CREW WORKE,36719.66
FACILITY OPERATIONS SPECIALIST,33270.96857142857
FACILITY OPERATIONS SUPERVISOR,66600.96625
FAIR EVENT WORKER,1624.930119760479
FAIR WEEK EMPLOYEE,1161.0687893864012
FAMILIES FIRST PROGRAM OFFICER,53447.29
FAMILY COURT ADMINISTRATOR,105323.47
FAMILY COURT COMMISSIONER,151532.2105
FEDERAL AID ANALYST,15677.44
FEDERAL AID COORDINATOR,92926.0
FEDERAL AID SPECIALIST,47274.25
FERAL HOG ELIMINATION TEAM LDR,73322.5
FERAL HOG TRAPPER,27745.946666666667
FIELD ACQUISITION TECHNICIAN,25326.958000000002
FIELD MATERIALS ENGR,87395.27
FIELD OPERATIONS MANAGER,87209.0
FIELD SUPPORT - TPT,20697.742727272725
FIELD SUPPORT - TPT/CDL,18237.270714285714
FINAL PLANS REVIEWER,27613.440000000002
FINANCIAL ANALYST,52978.0
FINANCIAL SERVICES  INTERN,7273.969999999999
FINANCIAL SERVICES ADMINISTRAT,103039.34000000001
FINANCIAL SERVICES COORDINATOR,69013.7175
FINANCIAL SERVICES DIRECTOR,133920.42
FINANCIAL SERVICES MANAGER,65227.44066666667
FINANCIAL SERVICES SPECIALIST,23173.20722222222
FINANCIAL SERVICES TECHNICIAN,18686.0975
FIRE PROGRAM ASST SUPV,61779.0
FIRE PROGRAM SUPERVISOR,73669.0
FIREFIGHTER,38430.793333333335
FIREFIGHTER CREW CHIEF,63711.10166666666
FISCAL & ADMIN ASST III,60518.43
FISCAL & ADMIN MANAGER,42767.07666666667
FISCAL & GENERAL SERVICES MGR,74828.11
FISCAL ANALYST II,66175.895
FISCAL ANALYST III,77237.03400000001
FISCAL AND ADMINISTRATIVE MNGR,77780.73
FISCAL CLERK,12742.03
FISCAL CONSULTANT,29809.685
FISCAL MANAGEMENT ANALYST I,50304.21333333334
FISCAL MANAGEMENT ANALYST II,28205.78
FISCAL MANAGER,53967.98333333334
FISCAL OFFICER,66264.184
FISCAL PERSONNEL & ADMIN MGR,85573.91
FISCAL SUPERVISOR I,14768.186666666666
FISHERIES BIOLOGIST,56972.11452380953
FISHERIES PROGRAM ANGLER OUT,72813.0
FISHERIES PROGRAM COORDINATOR,75589.5
FISHERIES PROGRAMS SUPV,77874.0
FISHERIES SECTION CHIEF,111115.5
FISHERIES SPECIALIST,41771.99
FISHERIES STAFF BIOLOGIST,62106.666666666664
FISHERIES TECHNICIAN I,17195.007596153846
FISHERIES TECHNICIAN II,23547.813421052633
FLD ACQUISITION COORDINATOR,67703.15
FLEET CONTROL COORDINATOR,34787.0
FLEET SERVICES SPECIALIST,63849.5
FOOD DIST PROGRAM ASSOCIATE,45204.0
FOOD DISTRIBUTION MANAGER,59381.0
FOOD SERVICE ASSISTANT,21898.738579387187
FOOD SERVICE HELPER I,13758.44
FOOD SERVICE HELPER II,13754.39
FOOD SERVICE MANAGER,44214.27911764706
FOOD SERVICE SUPERVISOR,38087.06170731707
FOOD SERVICE WORKER,27155.256105263157
FOOD SERVICE WORKER I,11093.71111111111
FOOD SERVICE WORKER II,33281.51
FORENSIC LAB EVIDENCE ASST,10815.977499999999
FORENSIC LAB TECH,12397.17
FORENSIC LAB TECH LEADER,26802.878000000004
FORENSIC LABORATORY MGR,29358.0
FORENSIC SCIENTIST,20457.95826923077
FORENSIC SCIENTIST SUP,26547.084499999997
FORENSIC SCIENTIST TRAINEE,14334.004545454545
FOREST NURSERY CREW LEADER,43350.5
FOREST NURSERY MANAGER,62426.0
FOREST NURSERY SUPERVISOR,94181.26
FOREST NURSERY TECHNICIAN,13852.1968
FORESTER,53144.04083333333
FORESTER ASSISTANT,20782.105384615385
FORESTRY FIELD PROGRAMS SUPV,87125.4025
FORESTRY OUTREACH & COMM,72141.0
FORESTRY PROGRAM CERTIFICATION,82765.5
FORESTRY SECTION CHIEF,52747.385
GAMING FINANCIAL ANALYST,71110.312
GARAGE SUPERINTENDENT,51842.6
GENERAL COUNSEL,101174.07833333332
GENERAL COUNSEL - DIVISION,79208.075
GENERAL LABORER,3484.9761403508774
GENERAL SERVICES ASSOCIATE,31013.039999999997
GENERAL SERVICES DIRECTOR,133920.42
GENERAL SERVICES INTERN,9015.46
GENERAL SERVICES MANAGER,66735.74625
GENERAL SERVICES SPEC,40054.082
GENERAL SERVICES SPECIALIST,42376.0
GENERAL SERVICES SUPERVISOR,22955.57
GENERAL SERVICES TECHNICIAN,22387.095
GEOGRAPHIC INFO SYSTEMS DEV,48345.482
GEOGRAPHIC INFO SYSTEMS MGR,62018.31666666667
GEOGRAPHIC INFO SYSTEMS SPEC,46023.63846153846
GEOGRAPHIC INFO SYSTEMS SPV,89775.475
GEOGRAPHIC INFO SYSTEMS TECH,18908.0
GEOLOGIST,82063.83333333333
GEOTECHNICAL DIRECTOR,114633.57
GEOTECHNICAL ENGINEER,56980.58
GEOTECHNICAL SPECIALIST,20889.2
GEOTECHNICAL SPECIALIST INTERN,11152.26
GIS SPECIALIST,35799.20692307693
GIS TECHNICIAN,13539.119999999999
GOVERNMENT RELATIONS COUNSEL,108251.47
GOVERNMENTAL AFFAIRS SPECIALST,60414.0
GOVERNMENTAL RELATIONS DIRECTO,67113.445
GOVERNOR,142658.25
GOVT SPECIALIST III,55623.22
GRAIN INSPECTION WORKER,6692.957731958763
GRANTS & ELECTIONS SPECIALIST,49572.51
GRANTS & PROJECTS MGR,88728.35
GRANTS ASSOCIATE,21006.36
GRANTS MANAGER,69726.13
GRANTS OFFICER,45322.1464
GRANTS PROGRAM SPECIALIST,16171.7
GRANTS SPECIALIST,42204.2048275862
GRANTS SUPERVISOR,64129.01
GRANTS SUPERVISOR I,70458.17
GRAPHIC ARTS SPECIALIST II,45960.075
GRASSLAND SYSTEMS MANAGER,72508.0
GROUNDS SUPERVISOR,52449.5
GUIDANCE COUNSELOR,51835.0
HABITAT MANAGEMENT COORDINATOR,19730.75
HATCHERY MANAGER,56484.5
HATCHERY SYSTEMS MANAGER,90193.5
HATCHERY SYSTEMS SUPERVISOR,57589.76
HEALTH AND SAFETY ANALYST,44876.27181818182
HEALTH AND SAFETY MANAGER,79133.81
HEALTH AND SAFETY SPECIALIST,59273.3
HEALTH AND SAFETY SUPERVISOR,70168.98999999999
HEALTH INFO ADMINISTRATOR,51339.04
HEALTH INFORMATION TECHNICIAN,41689.256
HEALTH PROGRAM AIDE,3508.217931034483
HEALTH PROGRAM SPECIALIST,7316.79
HEALTHCARE PRACTITIONER,77191.20666666667
HEAR HEALTHCARE PROG MANAGER,52682.0
HEARING OFFICER,61512.925
HEARINGS OFFICER,72551.5782352941
HEARINGS/APPEALS REFEREE,47454.945999999996
HEARINGS/APPEALS REFEREE MGR,83105.525
HEAVY EQUIPMENT OPERATOR,47020.97275862069
HIGHWAY COMMISSIONER,608.3333333333334
HIGHWAY DESIGNER,40806.59184210526
HIGHWAY SAFETY PROGRAM MANAGER,81478.6
HISTORIC PRESERVATION INTERN,10615.465
HISTORIC PRESERVATION MANAGER,91185.89
HISTORIC PRESERVATION SPEC-NSS,29339.97333333334
HISTORIC PRESERVATION SPECIALI,14860.79
HOME SCHOOL COORDINATOR,28127.2025
"HOME SCHOOL COORDINATOR, MS",40646.7375
HOMEBOUND TEACHER,669.26
HOURLY/INTERN,3621.513333333334
HOUSE SERVICES SPECIALIST I,35511.78
HOUSE SERVICES SPECIALIST II,51650.68
HOUSEKEEPER,25327.6
HR ANALYST,32703.965
HR BENEFITS ANALYST,39591.119999999995
HR MGMT ANALYST I,22987.5225
HR MGMT ANALYST II,56199.79
HR PRINCIPLE MGMT ANALYST I,43568.72
HR PRINCIPLE MGMT ANALYST II,16289.23
HR SCHOOL SPECIALIST,55942.0
HRIS ANALYST,49756.0
HRIS COORDINATOR,67802.08
HUMAN RESOURCE MANAGER,72013.0
HUMAN RESOURCES ADMINISTRATOR,72362.65000000001
HUMAN RESOURCES ASSISTANT,32429.534803921568
HUMAN RESOURCES BRANCH CHIEF,151597.0
HUMAN RESOURCES CONSLTNT SPEC,48274.61000000001
HUMAN RESOURCES CONSULTANT,30522.602499999997
HUMAN RESOURCES CONSULTANT AST,26128.036666666667
HUMAN RESOURCES DIRECTOR,74735.95555555556
HUMAN RESOURCES GENERALIST,37209.32057377049
HUMAN RESOURCES MANAGER,61491.34
HUMAN RESOURCES OFFICER,31794.75
HUMAN RESOURCES PROGRAM COORD,94024.18
HUMAN RESOURCES PROGRAM DIRCTR,59476.996
HUMAN RESOURCES SPECALIST,64205.22666666666
HUMAN RESOURCES SPECIALIST,47977.53788461539
HUMAN RESOURCES SUPERVISOR I,26220.5
HUMAN RESOURCES TECHNICIAN,32360.22
HUMAN RIGHTS OFFICER,36616.79
HUNTER ED/SHOOTING RANGE COORD,58245.5
HUNTING & ANGLER MARKETING SPC,71264.5
HWY SAFETY PROG ADMINISTRATOR,102143.23
IMAGING SERVICES MANAGER,47589.0
IMPROV/ACCOUNT ADMINISTRATOR,91451.0
IMPROVE& ACCOUNTABILITY MAN,67123.0
IN-SERVICE TRAINER,22171.39916666667
INCIDENT MANAGEMENT COORDINATR,75886.48666666666
INDEX SUPERVISOR,69039.56
INDUSTRIES SUPERVISOR,15390.405
INF SYSTEMS PROJECT MANAGER,37357.705
INFO SECURITY SPECIALIST,58548.2
INFO SECURITY SUPV,72592.25
INFO SYS TECHNOLOGY SPECIALIST,91185.89
INFO SYSTEMS DIRECTOR,133920.42
INFO SYSTEMS TECHNOLOGIST,27429.27588235294
INFO TECH FIELD SUPPORT SPEC,67690.46571428572
INFO TECH SENIOR ANALYST III,80977.61
INFO TECH SUPERVISOR,16292.8
INFO TECHNOLOGY ANALYST I,46247.94
INFO TECHNOLOGY ANALYST III,52762.82
INFO TECHNOLOGY MANAGER,102988.82
INFO TECHNOLOGY SUPPORT TECH,39377.744999999995
INFORMATION ANALYST I,16113.994999999999
INFORMATION ANALYST II,18761.913333333334
INFORMATION SECURITY MGR,90740.62
INFORMATION SYSTEMS INTERN,8503.143333333333
INFORMATION SYSTEMS MANAGER,105014.06
INFORMATION SYSTEMS SPECIALIST,81398.91857142856
INFORMATION SYSTEMS SUPERVISOR,63752.27181818182
INFORMATION SYSTEMS TECHNICIAN,10903.62
INFORMATION TECH BRANCH CHIEF,140186.0
INFORMATION TECHNOLOGIST IV,78449.75
INFORMATION TECHNOLOGY MANAGER,82897.85
INFORMATION TECHNOLOGY SPEC I,3361.6
INFRA ASSET & PLANNING MNGR,95002.5
INFRASTR ASSET PROGRAM ANALYST,35970.362857142856
INFRASTRUCTURE ASSET PRGM SPEC,74899.0
INFRASTRUCTURE MGMT BRANCH CHF,142766.0
INFRASTRUCTURE NETWORK SPEC,54112.01500000001
INFRASTRUCTURE PLANNER,26338.53
INSPECTOR,3110.112380952381
INSTITUTION SUPERINTENDENT,108902.98222222221
INSTRUCTOR,7592.4800000000005
INSURANCE CLERK,12218.5
INT AIRPORT PROJECT INSPECTOR,70739.27
INT BR INSPECTION CREW MEMBER,27683.476666666666
INT BRIDGE MAINTENANCE WORKER,30725.11043478261
INT CIVIL RIGHTS SPECIALIST,42763.235
INT COMMUNICATIONS SPECIALIST,55460.9425
INT DATA REPORT ANALYST,22411.03
INT DIVERSITY & INCLUSION SPEC,13214.88
INT EMPLOYEE DEVELOPMENT SPECI,41607.189999999995
INT GIS SPECIALIST,40126.92
INT GOVERNMENTAL RELATIONS SPE,39588.31
INT HISTORIC PRESERV SPEC-NSS,6869.22
INT HUMAN RESOURCES SPECLST,36370.947499999995
INT INFO SYSTEMS TECHNOLOGIST,32413.280869565217
INT MOTOR CARRIER AGENT,17469.4975
INT PROJECT DEVELOPMENT SPECIA,32879.285
INT TR SIGNAL AND LIGHTING TEC,48062.156470588234
INT TR STUDIES SPECIALIST,46508.04846153846
INTAKE COUNSELOR,48368.0
INTELLIGENCE ANALYST,16905.455416666668
INTER BENEFITS SPECIALIST,55759.86
INTER CONST INSPECTOR,46500.24949152543
INTER CONSTRUCTION TECH,24818.886071428573
INTER CORE DRILL ASSISTANT,16341.515
INTER FLD ACQUISITION TECH,10831.81
INTER HIGHWAY DESIGNER,39152.49413793104
INTER MAINT ENGINEERING SPCLST,45410.59333333333
INTER MAINT OPERATIONS SPCLST,35257.13333333333
INTER MAINTENANCE TECHNICIAN,39242.74
INTER MATERIALS INSPECTOR,56739.97142857143
INTER MATERIALS SPEC,11760.4
INTER MATERIALS TECH,22853.431666666667
INTER MULTIMODAL OPS TECH,32492.14
INTER R/W SPECIALIST,40906.5075
INTER RISK MGT SPECIALIST,55759.84
INTER STRUCTURAL DESIGNER,66915.436
INTER STRUCTURAL TECHNICIAN,24498.738
INTER SYSTEM MANAGEMENT SPECIA,55825.6
INTER TRAFFIC TECHNICIAN,29709.87
INTER TRANSPORTATION PLANNER,34350.60833333333
INTERIM DIRECTOR OF TRANSPORTA,64941.38
INTERIM LEAD,10900.0
INTERM FINANCIAL SERV SPECIALI,44220.5775
INTERM GEN SERV SPECIALIST,49664.725
INTERM MULTIMODAL OPER SPECIAL,55759.86
INTERM PAVEMENT SPECIALIST,46360.28666666666
INTERMED GEOTECHNICAL SPECIA,71364.57
