Polarity,Text
Negative,التحديثاات مرا خربت السناب حتى صار يعلق مرا مو مظبوط اتمنى تعالجو هالمشكله..😣
Negative,الجوف في مشكله باتحديث بعد ماخلص متابعه تنعاد لي مره ثانيه ارجو حل المشكله
Negative,التحديث الاخير فاشل بقوه التحديث الاخير المقاطع صارت زوم قريب مو طبيعيه ليتنا ع الاول افضل
Negative,القصص تنحذف دائماولا ترجع الا بتسجيل دخول من جديد بشكل يومي لماذا
Negative,عم يكتبلي هناك مشكلة عند الاتصال بالخادم ارجو ان تحلوو هذه المشكلة
Positive,روعه بس رجاءاً مانبي اعلانات مرا ازعاج وكمان فلترات مايجيني وانا فاتحه الموقع. اتمنى تعدلوا ويستاهل خمس نجوم. وليش مايصير فيديو خلفي 💔😭جوالي تاب4 اتمنى يصير فيديو خلفي محتاجه والله اصور.😢ولكم الشكر
Negative,سود الله وجيهكم سناب فاشل فاشل في الاندرويد 😠
Negative,سناب شات خااااااااااايس حتى الفيديو صغير وفي وسط الشاشه 😢
Negative,ايش صارله هذا برنامج ماتشتغل عندي خلاص ماراح تشتغل يعني؟؟؟؟؟؟
Positive,رائع انا نن يوم كان عمري 8 سنوات الى 20 سنه رائع البرنامج
Positive,هيمووو جميل وروعه ماشفت احلى من ذا البرنامج
Positive,ممتاز جدااااااااا ماشاءلله كويس البرنامج مرررررررررررره
Negative,احظروا الحسابات الإباحية يا إدارة تويتر ليه التقاعس والتطنيش في البلاغات عن الحسابات الإباحية المنتشرة بگثرة في تطبيقگم !؟ إخواني وأخواتي إحذروا السيئات الجارية مثل الصور والمقاطع والروابط الموحلة ، إن لم تگونوا مفاتيح للخير فلا تگونوا مفاتيح للشر ، والأمر الآخر لإدارة تويتر لماذا أصبح التحديث سيء جداً ( تعليق وإغلاق بالقوه )
Negative,برنامج ماعرف اشلونة جنت اظن زين بس طلع ﻻ ماكو بية خيارات مثﻻ اريد اسجل بية بدون رقم هاتف ماكو يحبرني اظيف رقم وباﻻخير يكلي رقم هاتفك غير صحيح والله حيل ظجت منة ارجو اصﻻح هذه المشكلة باقرب وقت ممكن
Negative,برنامج أبو كلب بس بيعلق كل ماتخش تبغى تفتح صورة او تروح على حساب واحد من عن طريق ضغط الصورة يعلق أتمنى حل المشكلة والي ماحدث التطبيق لايحدثوا ينتظر تحديث جديد
Negative,التحديث الاخير سيء التحديث ألاخير سيء جدا فيه تعليق واحيانا لايستجيب البرنامج ابدا والايمكنني الدخول عليه ابدا ما المشكلة ياتويتر😔؟
Positive,برنامج راقي بس المشكله مساحة الاسطر وحجم الفديو اني احبه لان بي خنازير سعودين ههههه يستاهل 5 نجوم
Negative,بعد التحديث الاخير صار التويتر زفت مرررره👎👎 حتى لما ابغا ارسل التغريدة ع الخاص ماقدر ..ويقولي الرجاء ابحث عن متابعين جدد يمكنك مراسلتهم عالخاص ويطلع لي بس مشاركه ع برامج ثانيه فقط اما الخاص لا .. ارجو انكم تحلون هذي المشكله
Negative,معفن ي أولاد الكلب كل مرره يخييس تحديثكم يا كلاب تبغو تكرهونا في برنامجكم تكلمو ي سفله ردو الله ياخذ عقلكم من يومه وهوا يعلق ويوقف فجأه تفوووو على اللي سواه
Negative,وش الي اتغير ؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟ ما صلحتو مشكلة التعليق و لا صلحتو شي على اي اساس تحدثونه صلحو التعليق بعدين نتفاهم وع ترا الله ياخذكم ، نعم حتا الصور ماتنزل زين يعني الا تبونه نكره التويتر ليش كذا تسوون الله ياخذكم
Negative,لايمكن لي ان اجد التغريدات ولا المتابعين الجدد نرجو حل المشكله سريع
Negative,بطيء التحديثات الجديدة بطيئة جدا حتى لو الانترنت سريع عندك ما يفتح التاقات بسرعة
Negative,خر تحديث من سيئ إلى أسوأ، دائماً تعليق وبشكل متكرر وفي كل خمس دقائق تقريباً يتوقف فجأة، ،والله كرهتونا في تويتر،،اذا التحديث سيئ عن قبل لماذا التحديث،،الرجاء النظر في الأمر وإصلاح الخلل
Negative,كل تحديث أسوأ من قبله عندكم مشكله في الصور اول كانت ماتتقرب والان تقرب بس تعلق لا تقدر ترجعها ثاني ولا تقدر تزيد في التقريب 😒👎
Positive,جميل ويحتاج زيادة الاحرف
Negative,سيء التحديث الأخير مو كويس سيء جداً
Negative,بصراحة لقد اصبح توتر لايطاق مع هده الثحدتث الاخيرة مع كامل الاسف ارجو منكم حل مشكلة التعليق المستمر 😖😖
Negative,التحديث الأخير سيء في اللغة العربية بيعرض التويتة العربي غير متناسقة التحديث الأخير سيء في اللغة العربية بيعرض التويتة العربي غير متناسقة اللغة عربية غير متناسقة
Negative,اسؤا من أول بالف مره والله مايستاهل نص نجمه ليه التحديث الخايس ذا
Negative,مشكله التحديث الاخير زي الزفت يعلق البرنامج وما يفتح ليه تحدثو مدام للاسوء
Negative,زفتتت يعلق لعقكم كلب أجرب
Negative,عدلو التحديث 😠 التحديث الأخير يرفع الضغط كل شوية يخرجك والتطبيق لا يستجيب شوفولكم حل يخليه يستجيب
Negative,للآسف التحديث الاخير كثير التعليق وولازم تخرج من البرنامج اصبح كريهة البرنامج
Negative,بطيئ جداً ضعيف ويتوقف دائماً اذا لم يتم اصلاحه فسيتم حذفه
Negative,يعلق كثيييييييير اذا قعد فيه لوقت طويل شوي يعلق ويكتب تم ايقاف البرنامج
Positive,ممتاز ومتطور للافضل والدليل عدد المشتركين المتزايد وسهل الفهم والاستخدام
Positive,برنامج اجتماعي وتواصل ناجح والشكر الجزيل لطاقم البرنامج
Negative,التحديث الجديد سيييييييييييء ما عد صرت استخدم البرنامج بسبب سوء التحديث الاخير
Negative,ﻷن البرنامج يوقف (يعلق) بشكل مستمر وبذلك فقد رونقه وجماله أرجوا إصﻻح الخلل .
Negative,؟ عندي مشكله الاضافات مقدر اقبلها او ارفضها بالرغم من اني مسوي اخر تحديث وباقي نفس المشكله
Negative, التحديث الأخير سيء جدا جدا جدا جدا الدي إم سئ والبرنامج يعلق !
Negative,التويتر سيء لماذا عندما أحدث الغلاف يحدث تم ايقاف التويتر ؟ ارجوا الرد سريعا لقد مللت هذا البرنامج 😤
Negative,ياكثر ماتحدثون علی كثر ماتحدثون هالبرنامج كل تحديث اسوا من التحديث اللي قبلة !!!!!!!!!!؟
Positive,ممتازخاصة بعد التحديث الأخير شكرا للقائمين على هذا البرنامج
Negative,إذا جيت تبي تشوف حساب شخص ماتطلع آخر تغريداته ... فاااشل
Negative,كل تحديث اخرا من تحديث كل زفت انت وصاحب البرنامج زفت بلمره
Negative,برنامج جنه زربه اليحمله اكيد يطلع مطي 😂😂😂😂😂
Positive,اصبح الان ممتاز عند ارسال الى شخص و تحديد الكلمات ونسخ ولصق
Negative,لايستحق التقويم ولذلك أخس تطبيق بعد التحديث صار زفتتتت اخس تطبيق معففففن مثلكم😒😳
Positive,ممتاز اصبح ممتاز بعد سهولة النسخ الات
Negative,سسسسسسيئ جدا جدا جدا نزعتوه صلحوه ماطلعت الصور اللي مرسلة لي عل الخاص واليوميات ماتحملت الصور فيها نزعتوووووه
Positive,التطبيق جدن رائع أحب التويتر
Negative,التحديث الجديد سيئ اذا فضلت تغريده ما تطلع لك بالمفضله
Positive,أحب ذلك بصراحة برنامج رائع جدا جدا جدا جدا جدا جدا رؤؤؤؤؤؤؤؤؤؤؤؤعة رؤؤؤؤؤؤؤؤؤؤؤؤعة
Positive,روعة روعة روعة روعة روعة روعة روعة روعة روعة روعة روعة روعة روعة روعة روعة روعة روعة روعة روعة روع
Positive,يس حلو
Positive,تويتر ممتاز جدا وافضل برنامج تواصل
Positive,تويتر من اروع برامج الاتصال الاجتماعي
Positive,حلوووووو عجب مررههه 
Positive, برنامج أكثر من رائع،،،استخدموه فيما يرضي الله،،ولا تجعلوا الله أهون الناظرين إليكم.
Positive,كويس مره اكوس شي
Positive,ممتاز لا تعليق ..الحكي واقف
Positive, البرنامج ممتاااااز ارجو انكم تحملونه
Positive, من اجمل التطبيقات الاجتماعيه ولو فيه اكثر من 5نجوم عطيته
Positive,حلو رائع يمكنك متابعت اصدقائك
Positive,رائع بلا واكتر من رائع
Positive,جيد جدا مرتبة الشرف
Positive,سمعه ممتاز عاد اللي يفهمها يفهمها
Positive,وووووووووووووووه عليه
Positive,ممتاز ممتاز جدا وسريع
Positive,من اجمل واهم البرامج
Positive,حلو برنامج تواصل جميل اذا استخدمته بشكل راقي وذوق بعيد عن الاستخدام السلبي والمتدني أسال الله الهدايه للجميع ..
Positive,ممتاز حلو مره ما عندي فيه اي مشكله
Positive,تويتر دائما متألق وسيلة تواصل اجتماعى ممتاز . خمس نجوم
Positive,جميل جدا جدا جدا جدا جدا جدا جدا جدا جدا جدا جدا
Positive,نبض يزودنا بالاخبار وهو اكثر من ممتاز ونتمنى الافضل والاستمرار والتوفيق
Positive,حلو اكثر من رائع
Positive,جميل جدا البرنامج رائع جدا انصحكم بتحميله
Positive," التحديث الجديد رهيب جداً جداً , تطور ملحوظ و الواجهة صارت مره حلوة ,, و اللي يقولون بايخ و و و وجهك البايخ 😁😁"
Positive,رائع جدا روووووووععععععععععة اتمتع مع توبتر
Positive, جميل جدآ افضل من البقية التواصل
Positive,شيء خيال روعه
Positive,جميل جدا فوق الممتاز ولا يحتاج إلي شبكه قويه ولا اي شئ ممتاز
Positive,برنامج رائع اتمنى يستمر بهذه الكفاءه
Positive,ممتاز جدا ..واستخدامه سهل
Positive,افضل من لاين افضل واسرع واوضح الى الامام 👍
Positive,مشاء الله برنامج روعه
Positive,يام يستاهل 999999999999999نجمه
Positive, برنامج جاااااااااااااااااااااامد
Positive,أفضل برنامج إتصال فيديو موجود في السوشل ميديا
Positive,برنامج رائع جدا جدا صوت وصورة جودة عالية احسنتم ولوفيه اكتر بعطيكم ١٠٠ نجمه
Positive,ممتاز جدا جدا ولكن الفيديو ينقصه بعض الدقه ولكن كصوت رائع رائع رائع وفى المجمل جيد جدا
Positive,برنامج تمام ممتاز جدا جدا جدا جدا واللهي انا ممكن بقالي 2 شهر مش عارف اكلم حد والحمد لله لما حملت برنامج تانجو ميه ميه
Positive,برنامج اتصال أكثر من رائع صوت و صورة... لكن احيانا يقطع الصوت ....الرجاء التغلب على هذه المشكلة...
Positive,بكل سراحة انا اعتبر مطور هلبرنامج افضل مطور لبرامج الاندرويد مبدع بكل ما تعنيه الكلمة برنامج خفيف على المعالج مع متطلباته كثيرة كاميرا صوت انميشن تكست وووو الخ مبددددددع ويستحق افضل مطور برامج بكل جدارة
Positive,برنامج ممتاز ممتاز ممتازحتي لوالشبكة ضعيفة ماشاءالله بيتكلم عادي جدابس الفيديوبيبقي صورته مش واضحةقوي في حالة ضعف الشبكة
Positive, ممتاز وجيد جدا وروعه وكل حاجه حلوه فيه ماشاءالله الله يبارك فيكم ويذيدكم والله ممتاز وروعه
Positive,تطبيق ممتاز مراسلات ومكالمات مجانيه ووضوح الصوت والصوره صراحه شيء طيب وخدمه طيبه يشكرون عليها
Negative,ممتاز مكالمات الفيديو جودة الصوره سيئه واجهة البرنامج الداخليه سيئه اعلانات وزفت علي راسكم
Positive, تسلم الايادي وجزاكم الله خيرا ربنا يرزقنا خيره ويكفينا شره ماشاء الله برنامج جميل جدا
Positive,برنامج ممتاز بالفعل البرنامج يلبي كل إحتياجات اﻹتصال سواء الصوت أو الفيديو وبجودة عالية حتى مع التحديث الجديد واجهته افضل واسرع لﻹتصال مع وضوح درجة الصوت ونقاؤه .
Negative,كان جيد جدا لكنه اصبح فاشلا بسبب الاعلانات والنشر وتعليقات و و و .. خليكم اتصالات وبس مثل فايبر ولاين وايمو وغيرهم وبالمناسبة صار ولا واحد يجيب طاري البرنامج من الاخير صار منسي إقرأ فوق ☝
Positive,برنامج رائع الصوت واضح وجميل ويستحق 5 نجوم وشكرا للقائمين عليه
Positive,متاز تانكوا وصل الاحباب بعضهم في بعض وخصوصا الوالدة في أولادها جزى الله القائمين على هذا البرنامج خير الجزاء
Positive,نجع حمادى . قنا . مكلماته تحفه وجمييييل جدا للتواصل وكل شئ بس الرسايل ضعيفة وبطيئة شوية .انما كبرنامج فهو جميييييييل جدا
Positive,برنامج مناسب في الاوقات الصعبه عامة البرامج بحالات مره حلوه ومره عاوزه شوية سكر
Positive,برنامج ممتاز يارب لا أحد يستعمله إلا في طاعة الله اللهم نسألك من خيرة وخيرما هو له ونعوذبك من شره وشر ما هو له
Positive,برنامج رائع جدا صورة وصوت بكامل الوضوح كل الشكر والتقدير وكل سنة وانتم طيبين
Positive,برنامج رائع ومميز جدا في المكالمات الصوتية والمرئية شكرآ لمن قاموا عليه
Positive,جدا جدا ممتاز انصح بتحميله لا يوجد به اي مشكله
Positive,هد البرنامج مرره روعه اناحبيتو من قلبي واقولكم نزيلوه:مع السلامه.
Positive,البرنامج في روعه الروعه وخصوصا الاعاب التي تنزلها الشركة😁😁
Positive,جميل جدا ولكن لو يظهر به بيان بتاريخ وساعه اخر اتصالنا به مثل الوتساب يكون افضل
Positive,في الحقيقة برنامج ممتاز جدآ صوت وصورة أتمنى لكم التوفيق والاستمرار من حسن إلى احسن
Positive,والله برنامج كتيررررررر روعه احلا برنامج محادثات كتيررررررر خفيف وجميل رووووعه
Positive,للامانه البرنامج قوووووووووووي ويستاهل كل النجوووووووووووووووم
Positive,تقييم تانجو برنامج روعه ويعمل بلا تقطيع شكرا للقائمين عليه
Positive,برنامج ممتاز جدا و كلما كان الاتصال قوي كلما كانت الرؤية اوضح
Positive,التانغو أكثر من رائع. .مكالمات ودردشة. .وضوح صوت وصوره
Positive,اقدر لكم مجهودكم برنامج ولا اروع من غير المعقول ان يكون هناك فرق ساعة واحدة
Positive,رؤؤؤؤؤعه البرنامج وافضل من كل برامج مكالمات الفيديو يستحق التنكو خمس نجوم جميل جدا
Positive,جميل كويس مابه شي زي مكالمات التلفيون العايدي يستاهل 10 نجوم
Positive,برنامج خطير ممتاز ووضوح الصوت فيه عالي جدا
Positive,جميل جدا ومتميز جزاكم الله خيرا كثيراً وكل عام وانتم بخير
Positive,حقا برنامج جميل جدا 
Positive,اتصال هاتفي مباشر ممتاز .. جيد .. صورة رايقة
Positive,برنامج قمة الروعه اتصال بوضوح بدون انقطاع جزاكم الله خير
Positive,ممتع جدا رائع جدا وخاصة بعد التحديث الاخير وتحية لشركة تانجو
Positive,جميييل جدا وخاصه الفيسات مررررره روعه
Positive,برنامج جدا رائع..أتمنى لكم مزيدا من التقدم والنجاح.
Positive,السلام عليكم التانقووو برنامج لطيف وحلو ومنتاز فيه كل المزايا
Positive,جزاكم الله خير القائمين علي هذا البرنامج برنامج جميل جدا.
Positive,من أسهل وامتع البرامج ممتاز ويعمل بسهولة جدا رووووعة
Positive,برنامج ممتاز بس الاستمراريه علي هذا المستوي
Positive,الله يبارك فيك ممتاز جدا جدا. ارجو من تحسين الخدمه اكثر من كده
Positive,برنامج رائع رائع لو فيه اكتر من خمس نجوم أعطيه مليون نجمه
Positive,برناااامج ولا اروع احلا برنامج اتصال شكرا لكل القائمين عليه
Positive,تطبيق جميل جدا واتمنى ان يستمر هكذا مع الشكر
Positive,برنامج جيد رجاء ألا تقل جودته بل يتطور أكثر
Positive,اتصال بدون تقطيع اجريت اتصال اكثر من مرة وتم الاتصال بدون تقطيع.
Positive,يا سلام صوت وصوره واضح جدا وقلل الصرف على المتصل
Positive,برنمج جميل الهي رمضان كريم والعيد احل مع تنجو
Positive,رائع...صوت وصوره بوضوح تام.
Positive,استخدامه يسهل علي التواصل مع الأصدقاء والأهل عندما أكون بعيدة عنهم
Positive,البرنامج ممتاز والله للأن وبالتوفيق لكل القائمين عليه
Positive,ينبع الصناعية جيد جدا وتم تفعيل عمله مع اي سماعة بلوتوث
Positive,اكثر من رائع يستاهل 50 نجمة وليس 5نجوم فقط.
Positive,رائع اجمل برنامج من ثلاث سنوات معى
Positive, برنامج ممتاز واحسن حاجه انه نزل سوق بلاى
Positive,فضل تطبيق في الحيااااااااااه الي يبي ينبسط يحمله
Positive,صوت رائع برنامج صوته واضح جدا اتواصل به مع أهلي دوليا
Positive,جيد جدا في حال النت متواصل ومستمر وقوه الاشاره ممتازه
Negative,بدون كود سيئ لني ي واحد يقدر يفوت على صفحتك
Negative,مو حلو والله يا كله فساد واحد يغازل والله لتكملة أنصحكم
Negative,زي الزفت لا انصح بتحميله
Positive,رقاويه وفتخر وال مو عاجبو ينتحر ويكتب عقبرو منقهر كتيييير حلو البرنامج هاذ بس بي مشكلاه مي يرسل فيدوهات ياريت تنحل هل مشكلاه واكون ممنونه ....♡♡♡♡
Negative,عندي طلب من الشركه بلا زحمه اني عندي بجهات الاتصال مال البرنامج اكو كم اسم اريد امسحهم وماكدر يطلع عندي بس اخفاء جهة الاتصال ماكو حذف فياريت من الشركه تحدث البرنامج وتخلي بي هاي الميزه ....وشكــرا
Positive,كتير حلو 😃بس ليش ما اقدر ارسل فيديو 😞 اتمنه تعالجون المشكله 😊
Positive,أحب ذلك واو مرا حلو البرنامج او مو بس ارسل او بعد اتصل فديو او صوت صرحا مرا عجبني وبعد بنفس الجوال مو ضروري أحمله ❤❤
Positive,كلششش حلو ورؤؤعه بس اكو شي محلو بيه انو ماتكدر تدز فيديو ورساله صوتيه اتمنى اصلاح المشكله 💓💕
Positive,رائع جداااا السلام عليكم ارجو من الشركة تحديث البرنامج ويعاجون حالتي اني اريد امسح شخص ميمسح بس يكبي اخفاء جهات الاتصال ارجووو منكم ان تعالجوه وشكرااا
Positive,1- البرنامج جيد لاكنه يثقل على الجهاز يعني بس يضعف النت يثقل جدا ، 2- اتمنه ان ترفعو علامة الموقع التي تظهر اسفل المحادثه الموجوده في مكان الكتابه. - اريد ان تزيلوها او ترفعوها لانها تضايقني في الكتابه والسلام ✋
Negative,ويع ويع ويع ويع انطيت نجمة بس لااعلق شنو هذا 😕😕😕😕 هاي شهر ما فتحته طلع يكولي سوي تحديث 😒 وشنو هاي دعوات عابت 😝😝😝😝
Negative,في مشكلة فجاة يتوقف اثناء ارسال رسالة نرجو حل هذة المشكلة لان الجميع عم يعاني من هذي المشكلة (تم ايقاف)
Positive,احببت هذا البرنامج روووعه رووووعه روووووعه رووووعه
Positive,برنامج روعه والله الي يگول عنه فاشل فهذا الشخص مايعرف اله حبايبي هذا البرنامج للمحادثه الخاصه لبرنامج كوگل احمر+هو هذه اله البرنامج روعه انصح تحملونه مفيد
Positive,أفضل ميزة في التطبيق هي إمكانية منع رسائل sms المزعجة، وإمكانية تحديد نغمة لكل جهة اتصال.
Positive,مررره حلو بس فيه مشكله ما تقدر ترسل صوت ولا فيديو ياريت تحلو هذي المشكله
Positive,عسوله الكوريه رووعه بس المشكله لما اسوي إلغاء تثبيت وارجعه لازم اله تحديث او اريد أحدثه يكول ماكو مساحه و لتلفون كلللشي ما بي بس على العموم روعه
Positive,برنامج كولش حلو بس مو مثل قبل لان قبل كان يطلع اي شخص نشط هسة ميطلع بالتحديث الجديد بس هم حلو ومابي مشاكل
Positive,كلش حلو روعه يستاهل التحميل ليريد يحمله خل يحملا بل رقم خلي باوع التعليق ويحمله
Positive,برنامج كولش حلو بس مو مثل قبل لان قبل كان يطلع اي شخص نشط هسة ميطلع بالتحديث الجديد بس هم حلو ومابي مشاكل
Positive,تطبيق حلو بس شكل الايموشنز مش حلو خالص ياريت لو يتغير
Negative,اكره اتكلم خاص واتمني ان يلغاء خاص قوقل لا احب كثرت كلام ويخذا مساحة عندي كثر 😠اتمني اصلح خلال فيه
Negative,انا في مشكلة انا ما احب يوجد هذا البرنامج وكل ما اطي الغاء يرجع وامي ضربتني لان شافت واحد مطيني دعوة ورادت تحرم الموبايل مني ممكن اتصلحوا هذة الشي
Positive,مره حلوه بس اريد أحد يعطيني اسمه ف هذا البرنامج عشان ضايفه لأني معرفت أضيف أي أحد لوسمحتو يعني
Negative,برنامج فاشل البرنامج فاشل وجاسوس انا يطلعلي صور ما انا صورتهن وماممكن تحذفهن ارجو المساعدة و حل المشكله أرجو الرد
Negative,سؤال : اذا شخص تضغط حظر عليه شنو رح يطلع يمه؟؟اذا واحد يعرف الاجابه واكون ممتن لكم
Positive,روعة في الأداء برنامج ذو طيف واسع في سماء التواصل الاجتماعي وعليكم المثابرة لغرض تقديم الأفضل ...والختام سلام
Positive,لموشه الكيكه وستايل الفيكه روووعة بس بي مشكله إيقاف تشغيل
Negative,تالا بنت هشام أحمد زيلعي* ماعجبني كثير لأن 1 ظروفي ما تسمح إني أنزله 2 هناك قوانين في القناة لا يوجد برامج تواصل مع تحياتي تالا زيلع *
Positive,جميل هو حلو بس في مشكله ليه مانقدر نرسل فيديو او تسجيل صوت ولا هو بصراحه رهيب ورائع واكثر من رائع بعد 😊😊
Positive,بس لو تخلون فيه بصمه صوت افضل وارسال فيديو ممكن تسونه بليييييز
Positive,رائع أروع برنامج محادثات من حيث الجودة ونقاء الصوت ولكن ينقصه تسجيل مقطع صوتي وفيديو لإرساله
Positive,جيد .. .. جيد.. . شكرا لتوفير وسيلة اتصال وتواصل . ارجوا ان يستفيد منه الجميع ..
Positive,أفضل ميزة في التطبيق هي إمكانية منع رسائل sms المزعجة، وإمكانية تحديد نغمة لكل جهة اتصال.
Negative,كلش مو حلو ياخذ معاك فتره وبعدين مايصير يتصل ممكن حل للمشكله وبعدين يصير رووووعه ويستاهل خمس نجوم
Positive,احب التطبيق راءع+ممتاز في مشكل ليش ما اقدر اسوي مما امه فديو
Positive,Mr. X تطبيق جميل في التواصل عبر مكالمات ورسائل ومكالمات فيديو مجانية نفس تطبيق واتس اب وفايبر انصح الكثير باستخدامة
Positive,😭 صاير مش منيح حتى لما بفوت عليه بصير علق معي رجااااائن اصلاح هل مشكله كلما بفوت عليه بجنني ولما بكتب الي كتبتو ما بيبان اني بعتو بختفي
Positive,يا بنت الجالكسي مايجي بس اﻷيفون بس أنا جوالي جالكسي او بنت خالتي ايفون كمرة جاى عليه اترسلي
Positive,روعه برامج بس وقف على رسال مكن اليس جميل ❤
Positive,بس ياريت يبقى في تسجيل صوت وارسال موسيقى وهيبقى احلى برنامج
Positive,روووووووعه حلوووو
Positive,جميل بس اكو مشكله ليش ما اكدر ارسل صوت
Negative,البرنامج يحتاج تطوير مثلآ ... ارسال الفيديوهات ... الدردشه مالته سوهه مثل التلكرام او الواتساب هيج حلو ولصمايلات هماتين عاديات محلوات
Positive,رررروعةرررووعة.كلش.حلو.هذا.البرنامج....اواي.واحد.عندة.مشكلة.خلي.يحاجيني.اواني.احلهة
Positive,هي كثير حلوة بس ليش ماترسل فيديو أو مسج صوتي ارجو أن تحلو المشكلة
Negative,مخيس مخيس مخيس ....اولا بطي/. ثانيا /نبي نشوف صوره عرضنا هع ههههه
Negative,المصيبه الكبري انك لو بعتي صوره لشخص وعايزه تمسحيها يعني جاتك صوره واردت مسحها مستحيل تتمسح بتدخل علي حاجه اخطر من الاستديو وربنا يستر علي بنات المسلمين
Negative,ما يستحق ولا نجمه مع الاسف ولكم خربتو البرنامج بالتحديث الاخير😞👊
Positive,انه جميل لاكن مشكلة ميضهر الأصدقاء ع الكوكل
Positive,اكتير حلو بس بي مشكله يطلعلي دحديث
Negative,يجب التطوير يجب اضافة اليه خاصية الرساله الصوتيه . والسرعه جداً سيئه عليكم جعلها كسرعة التوااصل في الوات ساب او التلغرام او الفايبر .. انا مستا۽ 😞
Positive,برامج كلش حلو بـﮩﮩُـٍβαŞـﮩﮩٍـًس.✋ شويه يحتاج نت قوي و شويه ثكيل
Negative,اظيفو للبرنامج شي واحد هو جميل لكن حاولو انو يرسل مقاطع فيديو يكون كذا اكتمل ومشكورين
Positive,ليبيا البرنامج حلووو لكن مشكله إرسال الفيديو لكن حلووو هلبا ويستاهل****
Negative,البرنامج يعلق بَـßÃŠـسّ ادخل يطلعني ممكن اعرف شنـِْ♡̷̴̬̩̃̊ـِْۈۋۈ السبب
Negative,ممكن طلب وليس امر اذا ممكن بالتحديث الجديد تنزلو ميزة لمسح جهات الاتصال وليس اخفاء فقط مع تحياتي لجهودكم
Negative,سؤال ليش من ادخل عليه يكلي للاسف.توقف الHangout
Negative,البرامج حلو لاكن ثقييييل ويعلك كلش كل شوي يتوقف ف ياريت تصلحو ها لمشكلة لان عذبني ثكييييييل
Negative,مسحوب عليه والله البرنامج مسحوب عليه عندي اكثر من 300 جهة اتصال ولا واحد يستخدمه انا شاري الجلكسي صارلي سنة ولقيته بالصدفه وفتحته
Positive,البرنامج سمح لكن نحن عندنا شبكتنا تعبان شديد
Positive,يجنن😍احلا من فايبر 😩 يجنن روعه حملوه بسرعه 😃😃😃
Negative,البرنامج خربت ارجو تعدلوها طبعا البرنامج فشل هواي هو كلللش حلو بس بي عطلات هواي مثل اذا واحد يودي رساله يوكف او لساعات يلا يجي الرساله او يتشكل ومدري شنو ممكن تحدثوه حته الكل يتعلق بيها لئن احله برنامج وبس يصير حلو اقيمه ب 5 نجوم واذا اكو اكثر هم اقيمه بس حرام عليكم مجاي تظبطون وتعدلون مشاكله
Positive,والله حلو البرنامج بس ثقيل بلكوه ينزل
Positive,واو حلو كتير بس في مشكلة أشخاص غرباء يدخلون احيانا
Positive,حلو قبل جان اكو تحديث وميعلك هسه حته تحديث ماكو ومكالمه ميصعد حلو
Positive,مرا مرا حلو بس المشكلة انا ما يرسل فيديو
Negative,بدي اعرف مثل ما قال لأخ الصنعاني بيجمد كتير 😠😠😠😠حلوه الهلمشكلة
Positive,عجبني اريد نطي ملاحضة للشركة جاي تطلع عندي. وعند جميع سماء شخاص واني عندي جاي تطلع مادري. ليش اريد مسحهم ماتطلع مسح ممكن تحدثون برنامج وتخلونه نمسحهة تحياتك الكم حبايبي
Positive,بنت السعوديه مرره واو بس المشكله ما أقدر أرسل فديو أتمنى معالجته
Positive,😘😘😘😘😘 ياناس في فيديو انا بعرف الطريقه انا عندي جوال سوني z2 وفيني ارسل فيديو بس الحين بعد يفتح
Negative,برنامج جميل ولكن اخاف من البنات يدخلو خاص عليه😂😂😂😂
Negative,@ محلو😜 اني هسة يلة عرفت هوة برنامج مراسلة كلة مصريين شنو هاي
Negative,عاشقة الموت برنامج روعة بس ليش المحاثات عندي بعد ساعة تحذف تلقائيا
Positive,برنامج كلش حلوه وروعه بس ناقصه شي واحد ميزه البصمة اتمنه اتفعلون هاي الميزه بالبرنامج
Negative,بغداد والله فااااااشل وبس يعلك شلع كلبنه ولمن نريد نخابر يكول لا يمكنك الانضمام الى المكالمه ارجو التحديث رجاءاً
Positive,حنونة برنامج جميل وخفيف بلجهاز بس لازم اتحدثون بي
Positive,لوسمحتو كل ماطلع من البرنامج وانا اكلم والعب العبه يطفي فجئه تحديث القادم اظبطو اللوضع حطية اربعه عشانه هاذي بس
Positive,رائع افضل برنامج جزاكم الله كل خير
Positive,روعه بس فيه مشكله وحده😟 البرنامج رائع بس المشكله انه ما ينفع ترسل فيديو يا ليت تحلوا المشكله ولكم جزيل الشكر
Positive,هو جيد بس ما أصير نبعث مقطع صوتي او مقاطع فديو
Negative,اول زين الحين كل شوي تم ايقاف البرنامج ويطلعوني اتمنا حل المشكه باسرع وقت زفت الحين
Negative,مش عارف استخدمة حد يقلي استخدمة ازاي
Positive,العراق بغداد برنامج رائع لكن فقط لااقدر أن اغير الاسم
Negative,مو كلش حلو. .انطي 70%.. محمد الحلفي لتقييم البرامج $
Positive,واو التطبيق وايت روعة ولي مي نذله غبي احمار مطي كلب هههه
Positive,البرنامج حلو وحملته بس كيف ادخل وارجو ان تحلو هذي الكسكلة
Positive,برنامج رائع 🙇🌸 البرنامج مرا جميل بس مشكلته يعلق ويجيب فيروس بس عادي 🙇🌸
Negative,زفت هه الله لا ينطيك يا مديــر شـركہ جـوجــل ليش هيـك عمـلت بالهـانك الله ياخـدك يا فصـعــون
